datetime,parking,pourcentage
2023-06-21T12:49:27,CONDORCET,84
2023-06-21T12:49:27,DARCY,13
2023-06-21T12:49:27,DAUPHINE,100
2023-06-21T12:49:27,GRANGIER,92
2023-06-21T12:49:27,MALRAUX,52
2023-06-21T12:49:27,MONGE,48
2023-06-21T12:49:27,SAINTE-ANNE,86
2023-06-21T12:49:27,TIVOLI,86
2023-06-21T12:49:27,TREMOUILLE,72
2023-06-21T13:16:59,CLEMENCEAU,52
2023-06-21T13:16:59,CONDORCET,85
2023-06-21T13:16:59,DARCY,8
2023-06-21T13:16:59,DAUPHINE,100
2023-06-21T13:16:59,GRANGIER,94
2023-06-21T13:16:59,MALRAUX,52
2023-06-21T13:16:59,MONGE,47
2023-06-21T13:16:59,SAINTE-ANNE,87
2023-06-21T13:16:59,TIVOLI,87
2023-06-21T13:16:59,TREMOUILLE,71
2023-06-21T13:43:15,CLEMENCEAU,52
2023-06-21T13:43:15,CONDORCET,85
2023-06-21T13:43:15,DARCY,3
2023-06-21T13:43:15,DAUPHINE,100
2023-06-21T13:43:15,GRANGIER,94
2023-06-21T13:43:15,MALRAUX,53
2023-06-21T13:43:15,MONGE,48
2023-06-21T13:43:15,SAINTE-ANNE,85
2023-06-21T13:43:15,TIVOLI,87
2023-06-21T13:43:15,TREMOUILLE,70
2023-06-21T14:43:28,CLEMENCEAU,51
2023-06-21T14:43:28,CONDORCET,80
2023-06-21T14:43:28,DARCY,-7
2023-06-21T14:43:28,DAUPHINE,100
2023-06-21T14:43:28,GRANGIER,88
2023-06-21T14:43:28,MALRAUX,52
2023-06-21T14:43:28,MONGE,43
2023-06-21T14:43:28,SAINTE-ANNE,83
2023-06-21T14:43:28,TIVOLI,86
2023-06-21T14:43:28,TREMOUILLE,70
2023-06-21T15:16:27,CLEMENCEAU,51
2023-06-21T15:16:27,CONDORCET,78
2023-06-21T15:16:27,DARCY,-15
2023-06-21T15:16:27,DAUPHINE,100
2023-06-21T15:16:27,GRANGIER,82
2023-06-21T15:16:27,MALRAUX,50
2023-06-21T15:16:27,MONGE,42
2023-06-21T15:16:27,SAINTE-ANNE,82
2023-06-21T15:16:27,TIVOLI,85
2023-06-21T15:16:27,TREMOUILLE,69
2023-06-21T15:43:12,CLEMENCEAU,52
2023-06-21T15:43:12,CONDORCET,75
2023-06-21T15:43:12,DARCY,-20
2023-06-21T15:43:12,DAUPHINE,100
2023-06-21T15:43:12,GRANGIER,75
2023-06-21T15:43:12,MALRAUX,49
2023-06-21T15:43:12,MONGE,41
2023-06-21T15:43:12,SAINTE-ANNE,79
2023-06-21T15:43:12,TIVOLI,86
2023-06-21T15:43:12,TREMOUILLE,69
2023-06-21T16:17:04,CLEMENCEAU,52
2023-06-21T16:17:04,CONDORCET,73
2023-06-21T16:17:04,DARCY,-25
2023-06-21T16:17:04,DAUPHINE,100
2023-06-21T16:17:04,GRANGIER,68
2023-06-21T16:17:04,MALRAUX,49
2023-06-21T16:17:04,MONGE,45
2023-06-21T16:17:04,SAINTE-ANNE,78
2023-06-21T16:17:04,TIVOLI,91
2023-06-21T16:17:04,TREMOUILLE,71
2023-06-21T16:43:13,CLEMENCEAU,53
2023-06-21T16:43:13,CONDORCET,70
2023-06-21T16:43:13,DARCY,-29
2023-06-21T16:43:13,DAUPHINE,100
2023-06-21T16:43:13,GRANGIER,62
2023-06-21T16:43:13,MALRAUX,49
2023-06-21T16:43:13,MONGE,56
2023-06-21T16:43:13,SAINTE-ANNE,77
2023-06-21T16:43:13,TIVOLI,58
2023-06-21T16:43:13,TREMOUILLE,71
2023-06-21T17:15:58,CLEMENCEAU,57
2023-06-21T17:15:58,CONDORCET,75
2023-06-21T17:15:58,DARCY,-32
2023-06-21T17:15:58,DAUPHINE,100
2023-06-21T17:15:58,GRANGIER,57
2023-06-21T17:15:58,MALRAUX,49
2023-06-21T17:15:58,MONGE,77
2023-06-21T17:15:58,SAINTE-ANNE,77
2023-06-21T17:15:58,TIVOLI,74
2023-06-21T17:15:58,TREMOUILLE,79
2023-06-21T17:43:23,CLEMENCEAU,65
2023-06-21T17:43:23,CONDORCET,82
2023-06-21T17:43:23,DARCY,-35
2023-06-21T17:43:23,DAUPHINE,100
2023-06-21T17:43:23,GRANGIER,54
2023-06-21T17:43:23,MALRAUX,49
2023-06-21T17:43:23,MONGE,100
2023-06-21T17:43:23,SAINTE-ANNE,76
2023-06-21T17:43:23,TIVOLI,87
2023-06-21T17:43:23,TREMOUILLE,87
2023-06-21T18:17:02,CLEMENCEAU,67
2023-06-21T18:17:02,CONDORCET,95
2023-06-21T18:17:02,DARCY,-37
2023-06-21T18:17:02,DAUPHINE,100
2023-06-21T18:17:02,GRANGIER,53
2023-06-21T18:17:02,MALRAUX,51
2023-06-21T18:17:02,MONGE,100
2023-06-21T18:17:02,SAINTE-ANNE,76
2023-06-21T18:17:02,TIVOLI,94
2023-06-21T18:17:02,TREMOUILLE,100
2023-06-21T18:43:29,CLEMENCEAU,69
2023-06-21T18:43:29,CONDORCET,99
2023-06-21T18:43:29,DARCY,-39
2023-06-21T18:43:29,DAUPHINE,100
2023-06-21T18:43:29,GRANGIER,52
2023-06-21T18:43:29,MALRAUX,56
2023-06-21T18:43:29,MONGE,100
2023-06-21T18:43:29,SAINTE-ANNE,76
2023-06-21T18:43:29,TIVOLI,99
2023-06-21T18:43:29,TREMOUILLE,99
2023-06-21T19:14:42,CLEMENCEAU,69
2023-06-21T19:14:42,CONDORCET,100
2023-06-21T19:14:42,DARCY,100
2023-06-21T19:14:42,DAUPHINE,100
2023-06-21T19:14:42,GRANGIER,52
2023-06-21T19:14:42,MALRAUX,58
2023-06-21T19:14:42,MONGE,100
2023-06-21T19:14:42,SAINTE-ANNE,76
2023-06-21T19:14:42,TIVOLI,99
2023-06-21T19:14:42,TREMOUILLE,100
2023-06-21T19:43:17,CLEMENCEAU,70
2023-06-21T19:43:17,CONDORCET,98
2023-06-21T19:43:17,DARCY,96
2023-06-21T19:43:17,DAUPHINE,100
2023-06-21T19:43:17,GRANGIER,50
